Time	Energy
2.5330	-96.8081
2.5378	-96.5274
2.5425	-96.9546
2.5473	-96.6137
2.5520	-98.4518
2.5568	-96.5664
2.5615	-97.3132
2.5663	-96.2194
2.5710	-96.5784
2.5758	-96.5311
2.5805	-96.1092
2.5853	-96.3605
2.5900	-96.3434
2.5948	-96.6855
2.5995	-97.0145
2.6043	-98.1849
2.6091	-96.5342
2.6138	-97.0255
2.6186	-97.4401
2.6233	-97.3484
2.6281	-97.6859
2.6328	-97.2838
2.6376	-97.9991
2.6423	-97.9081
2.6471	-97.0868
2.6518	-97.1059
2.6566	-97.7611
2.6613	-97.9289
2.6661	-98.1189
2.6708	-97.8832
2.6756	-97.4902
2.6803	-98.3601
2.6851	-97.5565
2.6898	-97.4070
2.6946	-97.7473
2.6993	-97.9924
2.7041	-97.9346
2.7089	-98.3630
2.7136	-98.5890
2.7184	-98.8174
2.7231	-98.0620
2.7279	-98.7446
2.7326	-98.0090
2.7374	-98.1802
2.7421	-98.5217
2.7469	-98.5960
2.7516	-98.0156
2.7564	-98.5691
2.7611	-98.3058
2.7659	-98.4982
2.7706	-98.3231
2.7754	-99.1981
2.7801	-98.7938
2.7849	-97.9726
2.7896	-98.7586
2.7944	-99.2208
2.7991	-98.2500
2.8039	-99.1702
2.8087	-98.7248
2.8134	-99.1211
2.8182	-99.6885
2.8229	-99.7196
2.8277	-99.4072
2.8324	-97.8769
2.8372	-98.7321
2.8419	-99.5693
2.8467	-99.9346
2.8514	-99.8612
2.8562	-99.3322
2.8609	-99.4529
2.8657	-98.9082
2.8704	-99.6514
2.8752	-99.7503
2.8799	-99.7463
2.8847	-100.4113
2.8894	-99.7924
2.8942	-99.9758
2.8989	-99.4803
2.9037	-99.9382
2.9085	-100.2392
2.9132	-100.2614
2.9180	-99.2456
2.9227	-100.0065
2.9275	-100.7266
2.9322	-100.0282
2.9370	-100.3565
2.9417	-100.6351
2.9465	-100.4001
2.9512	-101.1198
2.9560	-100.6661
2.9607	-100.8277
2.9655	-100.9757
2.9702	-99.7415
2.9750	-100.7011
2.9797	-100.6516
2.9845	-101.9896
2.9892	-100.6910
2.9940	-100.2408
2.9987	-100.8517
3.0035	-99.7244
3.0083	-101.3551
3.0130	-101.0188
3.0178	-101.6819
3.0225	-98.7858
3.0273	-101.5041
3.0320	-100.5303
3.0368	-101.1107
3.0415	-101.4910
3.0463	-100.9415
3.0510	-101.2141
3.0558	-100.9221
3.0605	-101.4107
3.0653	-101.1875
3.0700	-102.0307
3.0748	-100.7892
3.0795	-101.6297
3.0843	-101.8029
3.0890	-101.7284
3.0938	-100.6968
3.0985	-101.5945
3.1033	-102.3084
3.1081	-102.5225
3.1128	-101.8936
3.1176	-101.7622
3.1223	-102.3379
3.1271	-101.8347
3.1318	-101.6341
3.1366	-101.8327
3.1413	-102.1890
3.1461	-102.5634
3.1508	-102.4036
3.1556	-101.1916
3.1603	-101.8426
3.1651	-101.9191
3.1698	-102.4446
3.1746	-102.0270
3.1793	-101.9408
3.1841	-103.1366
3.1888	-102.9336
3.1936	-102.0764
3.1983	-101.2488
3.2031	-102.4603
3.2079	-102.2913
3.2126	-101.9876
3.2174	-103.1007
3.2221	-102.8887
3.2269	-102.9146
3.2316	-101.6495
3.2364	-103.1874
3.2411	-102.0809
3.2459	-102.4337
3.2506	-103.1931
3.2554	-102.5264
3.2601	-103.7678
3.2649	-102.3217
3.2696	-103.1695
3.2744	-102.5528
3.2791	-103.1012
3.2839	-102.8690
3.2886	-102.6782
3.2934	-102.4547
3.2981	-102.5049
3.3029	-102.5457
3.3077	-102.6988
3.3124	-103.9119
3.3172	-103.7962
3.3219	-103.6301
3.3267	-102.0798
3.3314	-103.1122
3.3362	-102.7493
3.3409	-102.6712
3.3457	-103.0505
3.3504	-103.3667
3.3552	-103.9796
3.3599	-103.7417
3.3647	-103.7199
3.3694	-102.2059
3.3742	-103.3839
3.3789	-102.3574
3.3837	-102.7936
3.3884	-102.3201
3.3932	-102.9490
3.3979	-102.1715
3.4027	-103.1536
3.4075	-102.8414
3.4122	-102.9267
3.4170	-103.0943
3.4217	-103.6394
3.4265	-103.4803
3.4312	-104.5797
3.4360	-103.0742
3.4407	-103.5092
3.4455	-102.5134
3.4502	-103.6984
3.4550	-103.6257
3.4597	-103.2502
3.4645	-102.6182
3.4692	-103.3181
3.4740	-103.1125
3.4787	-103.3844
3.4835	-103.3363
3.4882	-103.4795
3.4930	-103.4083
3.4977	-102.3531
3.5025	-103.9549
3.5073	-104.5120
3.5120	-102.4635
3.5168	-103.2293
3.5215	-103.4754
3.5263	-103.6173
3.5310	-103.4137
3.5358	-103.6272
3.5405	-103.8473
3.5453	-102.8389
3.5500	-103.9762
3.5548	-103.4414
3.5595	-102.9705
3.5643	-102.7755
3.5690	-102.4984
3.5738	-103.8783
3.5785	-102.8352
3.5833	-103.4917
3.5880	-102.8111
3.5928	-103.4474
3.5975	-102.2436
3.6023	-103.8760
3.6071	-103.8560
3.6118	-103.1190
3.6166	-103.3001
3.6213	-103.8733
3.6261	-103.1106
3.6308	-103.8741
3.6356	-102.9854
3.6403	-104.0740
3.6451	-103.1005
3.6498	-101.9142
3.6546	-102.7791
3.6593	-102.9222
3.6641	-102.2313
3.6688	-103.3055
3.6736	-102.5021
3.6783	-103.0907
3.6831	-103.6218
3.6878	-102.1886
3.6926	-102.3833
3.6973	-103.2780
3.7021	-102.5896
3.7069	-102.2911
3.7116	-103.2601
3.7164	-102.6576
3.7211	-102.7751
3.7259	-102.8812
3.7306	-102.5897
3.7354	-103.4791
3.7401	-101.9244
3.7449	-102.3030
3.7496	-101.8026
3.7544	-101.9440
3.7591	-101.8635
3.7639	-102.8676
3.7686	-102.8760
3.7734	-103.0639
3.7781	-102.6127
3.7829	-102.9047
3.7876	-101.9490
3.7924	-102.8130
3.7971	-102.3153
3.8019	-102.3748
3.8067	-103.2022
3.8114	-101.4501
3.8162	-103.6183
3.8209	-101.9878
3.8257	-102.0116
3.8304	-102.2123
3.8352	-102.1167
3.8399	-102.5094
3.8447	-101.6117
3.8494	-102.3689
3.8542	-101.1436
3.8589	-102.4165
3.8637	-102.0380
3.8684	-102.5064
3.8732	-101.2834
3.8779	-102.0593
3.8827	-101.2528
3.8874	-101.0183
3.8922	-102.2076
3.8969	-102.5468
3.9017	-102.5605
3.9065	-102.7399
3.9112	-101.5426
3.9160	-101.5525
3.9207	-101.8544
3.9255	-101.3460
3.9302	-101.8817
3.9350	-102.6826
3.9397	-101.9650
3.9445	-102.0070
3.9492	-102.7292
3.9540	-101.2481
3.9587	-101.2674
3.9635	-102.3956
3.9682	-101.9265
3.9730	-101.7351
3.9777	-101.5655
3.9825	-102.5352
3.9872	-100.9581
3.9920	-101.1922
3.9967	-101.2634
4.0015	-101.6929
4.0063	-101.7507
4.0110	-101.6970
4.0158	-101.8737
4.0205	-101.1722
4.0253	-101.4200
4.0300	-101.3264
4.0348	-102.0658
4.0395	-101.3742
4.0443	-101.0612
4.0490	-102.3171
4.0538	-102.2967
4.0585	-100.9741
4.0633	-101.7807
4.0680	-101.3007
4.0728	-101.2591
4.0775	-101.6704
4.0823	-101.8477
4.0870	-101.7267
4.0918	-101.6538
4.0965	-102.1394
4.1013	-100.4101
4.1061	-101.1670
4.1108	-101.5982
4.1156	-101.9042
4.1203	-102.0949
4.1251	-101.5531
4.1298	-101.1919
4.1346	-101.7254
4.1393	-101.3367
4.1441	-101.4290
4.1488	-102.6144
4.1536	-102.1275
4.1583	-101.4021
4.1631	-102.5997
4.1678	-101.7258
4.1726	-101.8250
4.1773	-101.5972
4.1821	-101.2956
4.1868	-103.1066
4.1916	-101.5109
4.1963	-101.7448
4.2011	-101.9768
4.2059	-102.5589
4.2106	-101.7981
4.2154	-102.5104
4.2201	-100.8178
4.2249	-102.3792
4.2296	-102.2941
4.2344	-101.5628
4.2391	-101.9509
4.2439	-101.9083
4.2486	-102.5718
4.2534	-101.6669
4.2581	-101.5732
4.2629	-102.6511
4.2676	-102.5108
4.2724	-101.3681
4.2771	-103.0066
4.2819	-102.0700
4.2866	-102.7524
4.2914	-102.8421
4.2961	-102.5141
4.3009	-101.9321
4.3057	-102.6511
4.3104	-102.6997
4.3152	-102.5173
4.3199	-102.4427
